date,id,city,district,address,coordinates,travel_time,condition,new_building,price,condominium_fee,condominium_operation_fee,condominium_financial_fee,condominium_land_rent_fee,area,rooms,floor,top_floor,balcony,sauna,beach,building_year,apartments_in_building,lvi_upcoming,lvi_past
2023-03-02,20317632.0,3,255,"Teollisuuskatu 34 B, 00520 Helsinki","60.195768, 24.941314",17.0,3,0.0,288800.0,381.76,125.55,144.61,111.6,31.0,1.0,6.0,0.0,1,0,0,2020.0,100.0,0,0
2023-03-02,21810891.0,3,181,"Taimistontie 11 B, 00380 Helsinki","60.215804, 24.864313",33.0,2,0.0,240000.0,293.55,283.25,10.3,0.0,51.5,2.0,2.0,0.0,1,1,0,1998.0,33.0,0,0
2023-03-02,21569494.0,3,60,"Pasuunatie 4 A B, 00420 Helsinki","60.240465, 24.871901",27.0,3,0.0,225000.0,180.0,180.0,0.0,0.0,45.0,2.0,1.0,0.0,1,0,0,2013.0,60.0,0,0
2023-03-02,20958681.0,3,145,"Porintie 5 A, 00350 Helsinki","60.205385, 24.869806",42.0,2,0.0,298000.0,323.4,231.0,92.4,0.0,56.5,2.0,5.0,0.0,1,0,0,1958.0,149.0,0,0
2023-03-02,21705617.0,3,60,"Vanhaistentie 1b B 34, 00420 Helsinki","60.240935, 24.885659",28.0,5,1.0,242900.0,821.52,297.6,523.92,0.0,46.5,2.0,2.0,0.0,1,0,0,2022.0,56.0,0,0
2023-03-02,21701445.0,3,16,"Caloniuksenkatu 6 B, 00100 Helsinki","60.174673, 24.920191",14.0,3,0.0,348000.0,154.0,154.0,0.0,0.0,38.5,1.0,5.0,0.0,0,0,0,1927.0,67.0,0,0
2023-03-02,9698310.0,2,184,"Tietäjäntie 8 D, 02130 Espoo","60.186888, 24.804185",32.0,3,0.0,365000.0,320.0,276.0,24.0,0.0,60.0,2.0,2.0,0.0,1,1,0,2007.0,57.0,1,0
2023-03-02,,2,46,"Pellaksenmäentie 15 E 102, 02940 Espoo","60.231042, 24.69037",52.0,3,0.0,189000.0,238.5,238.5,0.0,0.0,53.0,3.0,1.0,0.0,1,0,0,2016.0,24.0,0,0
2023-03-02,17178177.0,1,278,"Padisentie 20, 01690 Vantaa","60.278402, 24.925418",53.0,3,1.0,231000.0,322.07,141.75,180.32,113.81,40.5,2.0,1.0,1.0,0,1,0,2023.0,,0,0
2023-03-02,20354741.0,3,147,"Neulapadontie 4 G, 00920 Helsinki","60.223114, 25.059222",37.0,3,0.0,196000.0,580.16,278.24,301.92,0.0,58.3,2.0,4.0,1.0,1,0,0,1966.0,80.0,1,1
2023-03-02,21620897.0,2,153,"Niittymäentie 11 B, 02200 Espoo","60.169817, 24.782195",31.0,2,0.0,299000.0,271.2,271.2,0.0,0.0,56.5,2.0,2.0,0.0,1,1,0,2006.0,43.0,0,0
2023-03-02,1342076.0,3,125,"Soidintie 14, 00700 Helsinki","60.250293, 25.018768",27.0,3,0.0,163000.0,288.8,265.5,23.3,0.0,45.0,2.0,3.0,0.0,1,0,0,1986.0,33.0,1,0
2023-03-02,17177993.0,3,170,"Kollikatu 4 A, 00240 Helsinki","60.21999, 24.930411",26.0,3,1.0,229296.6,392.9,260.3,132.6,0.0,38.0,2.0,2.0,0.0,1,0,0,2023.0,,0,0
2023-03-02,20932578.0,3,24,"Vaasankatu 18 B, 00500 Helsinki","60.18819, 24.954554",17.0,3,0.0,300000.0,414.1,217.15,196.95,0.0,50.5,2.0,4.0,0.0,1,0,0,1966.0,33.0,1,0
2023-03-02,20514565.0,3,9,"Kahvipavunkuja 1 A, 00990 Helsinki","60.204989, 25.148488",31.0,3,0.0,279000.0,938.4,141.6,796.8,0.0,48.0,2.0,5.0,0.0,1,0,0,2015.0,62.0,0,0
2023-03-02,21927182.0,3,134,"Rajametsäntie 26 D, 00630 Helsinki","60.227141, 24.933739",30.0,3,0.0,239000.0,338.91,338.91,0.0,0.0,56.5,2.0,1.0,0.0,1,0,0,1953.0,113.0,1,1
2023-03-02,,2,112,"Ruutikellarintie 8 A 6, 02650 Espoo","60.222122, 24.828062",32.0,3,0.0,189000.0,110.25,110.25,0.0,0.0,30.5,1.0,1.0,0.0,0,0,0,2021.0,121.0,0,0
2023-03-02,21464293.0,2,130,"Matinpuronkuja 2 A, 02230 Espoo","60.161575, 24.755001",30.0,3,0.0,297000.0,957.9,190.65,767.25,0.0,46.5,2.0,3.0,0.0,1,0,0,2014.0,33.0,0,0
2023-03-02,20318168.0,3,98,"Rudolfintie 15 F, 00870 Helsinki","60.171725, 25.037081",35.0,2,0.0,159000.0,266.0,266.0,0.0,0.0,50.0,2.0,2.0,0.0,0,0,0,1970.0,114.0,1,1
2023-03-02,,2,133,"Aapelinkatu 5 C 37, 02230 Espoo","60.155979, 24.750467",42.0,3,0.0,198000.0,238.0,238.0,0.0,0.0,45.0,2.0,5.0,0.0,0,0,0,1970.0,110.0,0,1
2023-03-02,17010067.0,2,153,"Niittykatu 1, 02200 Espoo","60.169519, 24.759137",29.0,3,,285000.0,915.9,147.0,768.9,0.0,42.0,2.0,1.0,0.0,1,0,0,2018.0,,0,0
2023-03-02,20611786.0,3,4,"Aleksis Kiven katu 52-54 B, 00510 Helsinki","60.191774, 24.945746",17.0,3,0.0,398000.0,286.0,286.0,0.0,0.0,52.5,2.0,3.0,0.0,1,0,0,2001.0,105.0,0,1
2023-03-02,21773739.0,1,219,"Vanamontie 4 EE, 01350 Vantaa","60.306888, 25.030178",39.0,3,0.0,159000.0,442.74,272.8,163.74,0.0,59.5,2.0,2.0,0.0,1,0,0,1966.0,198.0,1,1
2023-03-02,20617364.0,2,236,"Riistapolku 4 A, 02120 Espoo","60.175375, 24.792337",30.0,3,0.0,278000.0,247.8,247.8,0.0,0.0,49.2,2.0,4.0,1.0,1,0,0,1959.0,69.0,1,0
2023-03-02,17177443.0,3,34,"Niittaajankatu 6, 00810 Helsinki","60.19157, 25.027674",23.0,3,,328000.0,309.75,309.75,0.0,0.0,52.5,2.0,4.0,0.0,1,1,0,2011.0,,1,0
2023-03-02,948711.0,3,202,"Roihuvuorentie 21, 00820 Helsinki","60.201209, 25.060067",30.0,3,0.0,192000.0,726.5,148.5,578.0,0.0,33.0,1.0,4.0,0.0,1,0,0,2018.0,59.0,1,0
2023-03-02,20131868.0,3,122,"Radiokuja 6 A, 00240 Helsinki","60.203307, 24.921414",22.0,3,0.0,369000.0,222.6,222.6,0.0,0.0,53.0,3.0,1.0,0.0,1,0,0,2018.0,59.0,0,0
2023-03-02,17172146.0,3,255,"Mäkelänrinne 3, 00550 Helsinki","60.19796, 24.950811",22.0,3,,339000.0,456.42,228.0,228.42,0.0,60.0,2.0,2.0,0.0,1,0,0,,,0,0
2023-03-02,21106232.0,3,188,"Punavuorenkatu 3 A, 00120 Helsinki","60.161707, 24.939176",9.0,2,0.0,322000.0,220.0,220.0,0.0,0.0,40.0,2.0,5.0,1.0,0,0,0,1959.0,23.0,0,0
2023-03-02,17170096.0,3,55,"Porvoonkatu 1 B, 00510 Helsinki","60.188688, 24.952539",17.0,3,,320000.0,358.98,215.8,143.18,0.0,41.5,2.0,9.0,0.0,1,0,0,1963.0,,0,1
2023-03-02,948712.0,3,202,"Roihuvuorentie 21, 00820 Helsinki","60.201209, 25.060067",30.0,3,0.0,187000.0,714.5,148.5,566.0,0.0,33.0,1.0,3.0,0.0,1,0,0,2018.0,59.0,1,0
2023-03-02,1342433.0,3,273,"Tilanhoitajankaari 17, 00790 Helsinki","60.227345, 25.025927",32.0,2,0.0,245000.0,204.75,204.75,0.0,0.0,45.5,2.0,3.0,0.0,1,1,0,2001.0,49.0,1,0
2023-03-02,20153141.0,3,187,"Johan Bockin kuja 10 F, 00720 Helsinki","60.239474, 24.984186",26.0,2,0.0,189000.0,407.08,339.3,64.98,0.0,58.5,2.0,1.0,0.0,0,1,0,1990.0,56.0,0,0
2023-03-02,21238050.0,3,147,"Tuulimyllyntie 8 C, 00920 Helsinki","60.224272, 25.069353",29.0,2,0.0,165500.0,261.31,236.41,24.9,0.0,50.5,2.0,1.0,0.0,1,0,0,1964.0,112.0,1,1
2023-03-02,20379181.0,3,93,"Kymintie 23-25 A, 00560 Helsinki","60.207008, 24.95775",31.0,3,0.0,229000.0,249.0,174.0,75.0,0.0,30.0,1.0,1.0,1.0,0,0,0,1927.0,16.0,1,0
2023-03-02,21938941.0,3,55,"Aleksis Kiven katu 26 A, 00500 Helsinki","60.189293, 24.953966",17.0,3,0.0,348000.0,392.04,174.24,217.8,0.0,48.4,2.0,2.0,0.0,0,0,0,1928.0,47.0,0,0
2023-03-02,20998658.0,2,26,"Ahventie 1 B, 02170 Espoo","60.165659, 24.773384",27.0,2,0.0,198000.0,222.6,222.6,0.0,0.0,42.0,2.0,1.0,0.0,0,0,0,1963.0,30.0,0,0
2023-03-02,21512142.0,2,221,"Yläkartanontie 20 B, 02360 Espoo","60.142711, 24.674545",40.0,3,0.0,198000.0,444.5,241.3,203.2,0.0,56.0,2.0,6.0,0.0,1,0,0,1970.0,72.0,0,1
2023-03-02,20911544.0,1,51,"Kaivokselantie 5 M, 01610 Vantaa","60.266668, 24.872379",40.0,3,0.0,179000.0,299.57,139.2,0.0,157.47,43.5,2.0,7.0,1.0,1,0,0,2019.0,89.0,1,0
2023-03-02,20039703.0,3,89,"Föglönkuja 7 B, 00590 Helsinki","60.174929, 25.036246",39.0,3,0.0,249000.0,1173.48,252.0,921.48,0.0,42.0,2.0,4.0,1.0,1,0,0,2016.0,65.0,0,0
